india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
shes a great mum	sie ist eine groartige mutter
henrys own mother was diabetic	henrys eigene mutter war diabetikerin
it was one of the things that killed her	das trug zu ihrem tod bei
so when i became very very overweight and started getting diabetic symptoms my doctor said youve got to be radical	als ich also sehr sehr ubergewichtig wurde und symptome von diabetes zeigte sagte mein arzt sie mussen radikal sein
so i went on a big fitness thing and i also had to go on a drastic diet to reverse the symptoms	also zog ich dieses fitnessding durch und musste auch eine drastische diat machen um die symptome umzukehren
its very hard	es ist sehr schwer
and its tedious	und es ist anstrengend
nobody likes eating carrots	niemand isst gerne karotten
henrys change in career trajectory is perhaps reflected in his distinguished closecropped beard	henrys karrierewechsel zeigt sich vielleicht in seinem eleganten kurzgeschnittenen bart
since he won critical acclaim for his othello he has become engrossed in the theatre	seit er von den kritikern fur seinen othello gelobt wurde ist er vom theater vereinnahmt
comedy of errors followed as did fences by august wilson	es folgte die komodie der irrungen und dann fences von august wilson
its a different experience from the sitcoms and comedies that have upholstered his busy working life	das ist eine andere erfahrung als die sitcoms und komodien die sein geschaftiges arbeitsleben ausgefullt haben
he started out when he was just and working at a factory	er begann mit nur jahren als er in einer fabrik arbeitete
a dj spotted him on stage doing impressions and wrote to new faces about him	ein dj entdeckte ihn auf der buhne als er personen imitierte und schrieb an new faces uber ihn
his tv career was launched in the midseventies for quite a long time i was the only black impressionistcomedian on telly	seine fernsehkarriere begann mitte der siebziger jahre ich war fur eine ziemlich lange zeit der einzige schwarze imitatorcomedian im fernsehen
he learnt on the job	er lernte im beruf
not only did i have to grow up in the public eye i had to learn how to be an efficient jokedelivering mechanism between and whilst being a star being on television and it was really difficult	ich musste nicht nur vor den augen der offentlichkeit gro werden sondern auch von bis lernen wie ich eine effiziente witzeerzahlmaschine werden konnte wahrend ich durch das fernsehen ein star war und das war wirklich schwierig
lenny on new faces in	lenny bei new faces
because his manager owned the stage rights to the black and white minstrel show a light entertainment programme in which people blacked up henry found himself performing his comedy in it for five years	da sein manager die buhnenrecht an der black and white minstrel show besa einem leichten unterhaltungsprogramm in dem sich die leute schwarz anmalten fuhrte henry seine comedy dort uber funf jahre auf
my family were very uncomfortable about it	meiner familie war das sehr unangenehm
i sort of wish it had never happened but i dont regret that i did it	ich wunschte irgendwie dass es nie passiert ware aber ich bereue nicht dass ich es getan habe
although it was a weird reprehensible position to be in i was working in huge venues and learning how to work a crowd	es war eine sonderbare unangenehme position fur mich aber ich arbeitete an riesenprojekten mit und lernte wie man mit einem groen publikum umgeht
but what was an awardwinning light entertainment staple of british television for years and years was also a grotesque parody of black people	aber diese jahrelange preisgekronte leichte saule des britischen fernsehens war auch eine groteske parodie schwarzer menschen
introducing characters who both lampooned and celebrated black british culture henry worked on the alternative comedy circuit in the eighties	durch die einfuhrung von figuren die die britische schwarze kultur sowohl verspotteten wie feierten arbeitete henry in den achtzigern an einem alternativen comedykreis
the first series of the lenny henry show aired in and in the nineties he was known as among other things chef gareth blacklock in the comedy series chef	die erste reihe der lenny henry show ging auf sendung und in den neunzigern war er unter anderem als der kuchenchef gareth blacklock in der comedyserie chef bekannt
advertisements documentaries tv series and parts in films consumed his next decade but after his bbc series lennyhenrytv he thought what are you going to do next len because it all feels a bit like youre marking time or youre slightly going sideways	werbung dokumentarfilme tvserien und filmrollen pragten sein nachstes jahrzehnt aber nach seiner bbcserie lennyhenrytv dachte er sich was machst du als nachstes len weil es sich alles so anfuhlt als bringst du nur die zeit rum oder trittst ein wenig auf der stelle
what came next was a radio documentary series called whats so great about	danach kam eine dokumentarserie fur radio mit dem titel whats so great about
the first was on shakespeare	die erste folge drehte sich um shakespeare
i had a real allergy to shakespeare	auf shakespeare war ich regelrecht allergisch
i wasnt really taught it at school properly and thought it was very much the reserve of middleclass white people with tights and a cabbage down the front	ich hatte in der schule nie richtig etwas uber ihn gelernt und hielt ihn uberwiegend fur eine domane der mittelklasse weie in strumpfhosen und einem kohlkopf vorne drin
so i was very frightened of it	also hatte ich groe angst davor
everybody we interviewed on that show peter hall trevor nunn adrian lester judi dench said you should try it	alle die wir fur die show interviewten peter hall trevor nunn adrian lester judi dench sagten du solltest es mal probieren
dont slag it off if you dont know what youre talking about	mach es nicht schlecht wenn du nicht weit wovon du redest
get some of the words in your mouth and then youll understand why we all love shakespeare so much	nimm ein paar der worte in den mund und dann wirst du verstehen warum wir alle shakespeare so lieben
henry delivered lines of othellos last speech for the documentary and he was hooked	henry fuhrte zeilen aus othellos letzter rede fur den dokumentarfilm auf und er war begeistert
it gave me the feeling that i could do it	ich hatte das gefuhl dass ich das schaffen konnte
its almost like i had my head put on straight for me	es war fast als hatte mir jemand den kopf endlich richtig aufgesetzt
this is what its about its a serious thing take it seriously learn your lines do some research	darum geht es es ist eine ernsthafte sache nimm sie ernst lern deinen text recherchiere ein bisschen
so the rehearsal process was brutal and i was reading that play for months and months before we did it	die proben waren brutal und ich las dieses stuck monatelang bevor wir es machten
and it was a success	und es war ein erfolg
they seemed to expect a car crash and it didnt quite happen	sie schienen einen autounfall zu erwarten und das passierte einfach nicht
soon he was starring in comedy of errors	und bald trat er in der komodie der irrungen auf
suddenly im at the national theatre and i just couldnt quite believe it	plotzlich war ich im nationaltheater und ich konnte es kaum glauben
there was one moment where i thought oh youve changed	da gab es einen moment als ich dachte oh du hast dich verandert
there was a technical fault and henry instinctively felt that it was his job to keep the audience entertained	es gab einen technischen fehler und henry fuhlte instinktiv dass er das publikum unterhalten musse
a little voice inside me said youre going to have to do minutes while they fix the computer	eine kleine stimme sagte mir du musst jetzt minuten uberbrucken wahrend sie den computer reparieren
instead the stage manager announced the performance would resume as soon as the problem was resolved	stattdessen verkundete der buhnenleiter dass die vorstellung weiterginge sobald das problem gelost sei
i walked off the stage and something in me went oh thank god	ich ging von der buhne und irgendetwas in mir sagte oh gott sei dank
its not my responsibility	ich bin nicht dafur verantwortlich
i can let somebody else sort it out	ich kann das jemand anderem uberlassen
youre in a play stay in character	du spielt in einem theaterstuck also bleib in deiner rolle
henry appearing in fences at the duchess theatre	henry in fences am duchess theatre
learning his lines for fences was challenging	den text fur fences zu lernen war anspruchsvoll
panics quite good it stiffens the sinews	panik ist sehr gut das starkt die sehnen
that was well received too so its like a big sign from the gods saying this is what you should be doing	auch das kam gut an es ist also wie ein groes schild der gotter die mir sagen das hier ist deine bestimmung
he says this of course in a booming voice	er sagt dies naturlich mit einer donnernden stimme
so im sticking with it	also bleibe ich dabei
im really loving it	ich liebe das wirklich
i love being in a rehearsal room	ich liebe es in einem probenraum zu sein
henry still has a comedians brain though throughout our conversation is broken with flashes of his humour as he slips in and out of impressions	henry hat aber immer noch den kopf eines comedian unser gesprach ist von humorvollen ausbruchen durchzogen wahrend er immer wieder personen imitiert
im just choosing not to do standup because that thing of getting instant gratification from a room full of strangers i guess is kind of dangerous	ich habe beschlossen keine standupcomedy zu machen weil ich finde dass diese art der sofortigen befriedigung von einem saal voller fremder irgendwie gefahrlich ist
if youre constantly seeking that it can lead to a brick wall	wenn man das immerzu sucht fahrt man damit vor eine mauer
i do live at the apollo sometimes when i want to but generally it doesnt float my boat like it used to	ich trete manchmal live im apollo auf wenn ich dazu lust habe aber insgesamt gibt es mir nicht so viel wie fruher
i ask whether hell ever do another standup tour	ich frage ihn ob er je wieder eine standupcomedytour machen wird
the joy of sitting in a room with a director who is helping to shape a beginning middle and end of a journey i dont think ill ever want to give that up	der spa den ich in einem raum mit einem regisseur habe der dabei hilft einen anfang einen mittelteil und das ende einer reise zu formen ich glaube nicht dass ich das je wieder aufgeben mochte
so this is his new incarnation	ist das hier also seine neue inkarnation
i think so	ich denke schon
i like being an actor	ich bin gerne ein schauspieler
its good fun	es macht spa
youre always telling a story and thats a great place to be	man erzahlt immer eine geschichte und das ist groartig
i love stories	ich liebe geschichten
people love stories	die menschen lieben geschichten
houthi rebels block roads in yemeni capital	huthirebellen blockieren straen in jemens hauptstadt
in the conflict between the shiite houthi rebels and the yemen government the houthis have called for civil disobedience in the capital sanaa	im konflikt zwischen schiitischen huthirebellen und der jemenitischen regierung haben die huthis zu zivilem ungehorsam in der hauptstadt sanaa aufgerufen
houthi supporters had occupied central roads in sanaa on monday said a spokesman of the houthi party ansar allah	huthianhanger hatten am montag zentrale straen in sanaa besetzt sagte ein sprecher der huthipartei ansar allah
access to the parliament was blocked as well	auch die zufahrt zum parlament sei blockiert worden
yemeni media report that there is traffic chaos in the capital	jemenitische medien berichten von einem verkehrschaos in der hauptstadt
according to a report in the online edition of the newspaper yemen post houthi leader abdulmalik alhuthi called for these actions on sunday evening	nach angaben der onlineausgabe der zeitung yemen post hatte huthifuhrer abdulmalik alhuthi am sonntagabend zu den manahmen aufgerufen
the report said that huthi threatened further escalation of the conflict should his demands not be met	huthi drohte nach angaben des blattes mit einer weiteren eskalation des konflikts sollten seine forderungen nicht erfullt werden
the shiite houthis are fighting for more independence fro the sunniruled yemen and are demanding that the government resign	die schiitischen huthis kampfen fur mehr unabhangigkeit vom sunnitisch regierten jemen und fordern den rucktritt der regierung
according to the report houthi tribes have been besieging the yemeni capital for almost two weeks	der volksstamm der huthi belagert seit knapp zwei wochen die jemenitische hauptstadt
around rebels had set up protest camps on the major access routes to sanaa	rund rebellen haben protestlager an den groen zufahrtswegen von sanaa errichtet
in the surrounding areas of the town bloody clashes with the yemeni army have continued unabated	im umland kommt es immer wieder zu blutigen kampfen mit der jemenitischen armee
kenya registers civil servants to target ghost workers	kenia registriert beamte um geisterangestellte einzudammen
kenya has started biometrically registering all civil servants in an attempt to remove ghost workers from the governments payroll	kenia hat damit begonnen alle staatsbeamten biometrisch zu registrieren um geisterangestellte aus den gehaltslisten der regierung zu loschen
employees who failed to register over the next two weeks would no longer be paid a government statement said	mitarbeiter die sich in den nachsten zwei wochen nicht registrieren wurden nicht mehr bezahlt lautete eine regierungsmitteilung
the government suspects that thousands of people continue to receive salaries after leaving the civil service	die regierung vermutet dass tausende personen auch nach ihrem abschied aus dem offentlichen dienst noch gehaltszahlungen erhalten
president uhuru kenyatta pledged to curb corruption in the public service after taking office in	prasident uhuru kenyatta versprach bei seinem amtsantritt korruption im offentlichen dienst zu bekampfen
an audit earlier this year found that at least a month was lost in payments to ghost workers and other financial malpractice	bei einer prufung zu anfang diesen jahres wurde festgestellt dass mindestens million pro monat an zahlungen fur geisterangestellte und durch andere missbrauchliche finanzpraktiken verloren gingen
the government suspects that salaries continue to be deposited into bank accounts even after a person dies or leaves the public service reports the bbcs wanyama chebusiri from the capital nairobi	die regierung vermutet dass gehalter weiterhin auf konten ausgezahlt werden nachdem eine person gestorben ist oder den offentlichen dienst verlasst berichtet wanyama chebusiri fur den bbc aus der hauptstadt nairobi
all public servants are required to present themselves over the next two weeks at identification centres to ensure their data is captured through the biometric registration exercise a government statement said	alle beamten mussen nun in den nachsten zwei wochen bei identifikationszentren erscheinen um sicherzustellen dass ihre daten uber die biometrischen registrierungen aufgenommen werden wurde in einer regierungsnachricht mitgeteilt
anyone who failed to do so without a valid excuse would be eliminated from the payroll it said	alle die dies nicht ohne eine glaubhafte entschuldigung taten wurden von der gehaltsliste gestrichen lautete die mitteilung weiter
this exercise will contribute significantly to the rationalization of the public service by determining the actual numbers of public servants and will also be used to cleanse the payroll at both levels of government hence bring a stop to the issue of ghost workers said anne waiguru the cabinet secretary in the ministry of devolution and planning	durch dieses vorgehen wird wesentlich zur rationalisierung des offentlichen dienstes beigetragen indem die tatsachliche anzahl der beamten festgestellt wird und auch die gehaltsliste auf beiden regierungsebenen bereinigt wird so werden die geisterangestellten eliminiert sagte anne waiguru die kabinettssekretarin im ministerium fur dezentralisierung und planung
the scandal surrounding arts advisor helge achenbach will be heard for the first time in court on november	der skandal um den kunstberater helge achenbach wird am november erstmals vor gericht verhandelt
five heirs of berthold albrecht the son of the founder of aldi theo albrecht are suing achenbach and two of his companies who are in the process of declaring themselves bankrupt for million euros compensation in a civil case brought before the dusseldorf district court	funf erben von berthold albrecht sohn des aldigrunders theo albrecht fordern in einem zivilprozess am dusseldorfer landgericht millionen euro schadenersatz von achenbach und zwei seiner unternehmen die sich in insolvenzverfahren befinden
the news was announced by a court spokeswoman on monday	das teilte eine gerichtssprecherin am montag mit
according to the statement of claim when purchasing the works of art and antique cars achenbach conned them and invoiced berthold albrecht for more than the actual sales price	in der klageschrift heit es achenbach habe beim ankauf von kunstwerken und oldtimern betrogen und berthold albrecht hohere als tatsachlich gezahlte kaufpreise berechnet
in so doing the agreed commission also turned out to be more	dadurch sei auch die vereinbarte provision hoher ausgefallen
achenbach purchased valuables for albrecht for million euros	achenbach habe fur millionen euro wertgegenstande fur albrecht angekauft
children need roots and wings	kinder brauchen wurzeln und flugel
he was a school teacher for years of which he was the principal	jahre war er im schuldienst davon als schulleiter
during his teaching time manfred richter got to know many schoolchildren who are now fullygrown adults living in petershausen and kollbach	aus dieser zeit kennt manfred richter viele gestandene petershausener und kollbacher aus deren zeit als schuler
his methods were sometimes unconventional but they were always based on his desire to see the adult in the child	seine methoden waren manchmal unkonventionell aber stets getragen von seinem streben im schuler den menschen zu sehen
mount snezka is one of the bestknown peaks in the czech giant mountains	die schneekoppe ist der bekannteste berg des riesengebirges
manfred richter loves this painting of a picture from his childhood home	manfred richter liebt das gemalde mit dem motiv aus seiner heimat
richter was born in in trautenaunordbohmen todays trutnov	richter wurde in trautenaunordbohmen geboren heute trutnov
he was interested in becoming a teacher as early as the age of after he had been a secondary school pupil for four years	schon mit interessierte er sich nach vier jahren oberschule fur den lehrerberuf
one year later the germans living in the sudetenland were dispossessed	ein jahr danach wurden die sudetendeutschen enteignet
within half an hour the family had to leave their home	binnen einer halben stunde musste die familie ihr haus verlassen
after a few months spent in a holding camp they moved to bavaria in in a goods train	nach einigen monaten in einem lager ging es nach bayern im guterwaggon
that was how he came to live in senkendorf in upper franconia	so verschlug es richter ins oberfrankische senkendorf
the teacher training course was in bamberg	die lehrerbildung fand in bamberg statt
in order to get to the school manfred richter had to go six times per week on foot to the nearest train station take the train to bamberg from there walk three kilometres right across the town to the school and then make the return journey home	dazu musste manfred richter sechsmal pro woche zehn kilometer zum nachsten bahnhof laufen mit der bahn nach bamberg fahren dort drei kilometer quer durch die ganze stadt zur schule gehen und abends zuruck
after two months manfred richter was given a bed to sleep at the red cross home in bamberg in a sleeping quarter that he shared with fellow students	nach zwei monaten bekam manfred richter in einem rotkreuzheim in bamberg eine schlafgelegenheit zusammen mit bis zu mitschulern in einem schlafsaal
in he took his first state exam and his second in after spending three further years as a teaching candidate	machte er das erste und nach drei jahren lehramtsanwarter das zweite staatsexamen
since upper franconia had no free teaching place for him he applied to upper bavaria and received a post on november at a school in kollbach	da oberfranken fur ihn keine freie lehrerstelle hatte bewarb er sich nach oberbayern und kam am november an die schule in kollbach
the young womens room was his first service flat in the school building	das frauleinzimmer war seine erste dienstwohnung im schulhaus
in he moved into the newbuild teacher accommodation next door to the school into a threeroom service flat	bezog er im neuerbauten lehrerhaus neben der schule eine dreizimmerdienstwohnung
manfred richter bought this house in after the school in kollbach was closed in	dieses haus kaufte manfred richter nachdem die schule in kollbach aufgelost worden war
until then the school district association of petershausenkollbach had three classes in kollbach and five in petershausen	bis dahin gab es in kollbach im schulverband petershausenkollbach drei klassen und in petershausen funf
in the school year of these classes were accommodated in petershausen in todays town hall	ab dem schuljahr wurden diese in petershausen im heutigen rathaus zusammengefasst
when the indersdorf schools association was founded the only school left in the locality was the primary school	als der schulverband indersdorf gegrundet wurde blieb nur noch die grundschule im ort
in order to avoid a deranking of position in the now smaller school the then dean georg sigl decided to move to karlsfeld and manfred richter became his successor	um einer ruckstufung in der nun kleineren schule zu entgehen wechselte der damalige rektor georg sigl nach karlsfeld und manfred richter wurde sein nachfolger
however petershausen continued to grow and so the children and their teachers from september onwards could move into the presentday building which has since been extended after richter took his retirement	doch petershausen wuchs und so konnten die kinder und ihre lehrer ab september den heutigen bau beziehen der nach richters pensionierung erweitert wurde
manfred richter praises the uncomplicated manner and spirit of generosity of the then mayor ludwig gotz who was able to secure municipal funds to build an additional workroom and extra rooms in the cellar as part of the extensions although the council guidelines governing schoolbuilding work did not allow subsidies to be used to pay for this work	manfred richter lobt die unkomplizierte grozugigkeit des damaligen burgermeisters ludwig gotz der auf gemeindekosten zusatzlich einen werkraum und bei der erweiterung kellerraume bauen lie obwohl das nach den richtlinien fur schulbauten nicht zuschussfahig war
mayor gotz was a great friend of the school recalls richter with gratitude	burgermeister gotz war sehr schulfreundlich erinnerte sich richter dankbar
throughout his whole career manfred richter never forgot a reply given in a speech by a government representative in answer to a presentation given by the schools council on law and justice one should never forget to love manfred richter duly implemented what he had heard as a young teacher	in seiner ganzen karriere hat manfred richter nie den redebeitrag eines regierungsvertreters vergessen der auf ein referat eines schulrates uber recht und gerechtigkeit geantwortet hatte man darf nie die liebe vergessen manfred richter setzte um was er da als junger lehrer gehort hatte
one has to give children two things roots and wings says the yearold	man muss den kindern zweierlei mitgeben wurzeln und flugel sagt der heute
but experience has also taught him that one doesnt always achieve that whether by that he means his pupils or his own six children is unclear	und er musste erfahren das gelingt nicht immer ob er da nur seine schuler oder genauso seine eigenen sechs kinder meint ist nicht ganz klar
in any case richters methods were at times unconventional	in jedem fall war richters tun manchmal unkonventionell
if school children got into fights they were not given punishments like for example writing out lines or serving a detention	wenn schuler sich prugelten bekamen sie von ihm nicht etwa eine strafarbeit und wurden auch nicht zum nachsitzen verdonnert
at the cost of the council richter bought two pairs of boxing gloves and then let the two antagonists fight it out even if this did occasionally produce a blackeye	auf kosten der gemeinde hatte richter zwei paar boxhandschuhe anschaffen lassen und lie die beiden kontrahenten gegeneinander antreten auch wenn es dabei mal ein veilchen geben sollte
for the benefit of the school richter nurtured a good relationship with the then mayor ludwig gotz csu	zum wohle der schule pflegte richter als rektor ein gutes verhaltnis zum damaligen burgermeister ludwig gotz csu
following his retirement richter who had no political allegiances was encouraged by the mayor to run for election onto the local council as a candidate for the csu in	dieser bewegte den parteilosen richter nach dessen pensionierung dazu zumindest als letzter auf der csuliste fur den gemeinderat zu kandidieren
however richter finished in sixth and joined the csu	doch richter wurde auf platz sechs vorgewahlt und trat der csu bei
kilometres in three days	kilometer in drei tagen
tour cyclists are taking a breather in the health resort of bad salzhausen and schotten	fahrradfahrer legen im kurpark von bad salzhausen und schotten zwischenstopps ein
there is nothing particular out of the ordinary about touring cyclists take a rest in bad salzhausen or in schotten	wenn radler auf ihrer tour in bad salzhausen oder schotten rast machen ist das an sich nichts besonderes
however on friday the sheer numbers of those resting up was striking the participants of the cycle tour together with their entourages were all enjoying a break in the lower resort of bad salzhausen and they would later be attending an open air party in the alteburgpark in schotten too	am freitag jedoch machte allein die anzahl der rastenden eindruck die teilnehmer der samt begleittross genossen eine pause im unteren kurpark von bad salzhausen und spater eine party unter freiem himmel im schottener alteburgpark
under the logo cycling and celebrating along the newlydiscovered routes between nidda and kinzig the participants had met up on thursday in bad vilbel and had listened to a concert there by van baker band	unter dem motto radeln und feiern auf neu entdeckten wegen zwischen nidda und kinzig hatten sich die teilnehmer am donnerstag in bad vilbel getroffen und dort ein konzert von van baker band miterlebt
on friday it was down to business the riders set out to attack the first stage kilometres via florstadt to bad salzhausen and then further on to schotten	am freitag wurde es ernst die radler nahmen die erste etappe die kilometer uber florstadt nach bad salzhausen und weiter nach schotten in angriff
in bad salzhausen the sportsmenandwomen were greeted by mayor hanspeter seum who had ridden off the startline in bad vilbel on his own bike and the boss of the municipal company bad salzhausen petra schwingdoring	in bad salzhausen wurden die sportler von burgermeister hanspeter seum der in bad vilbel mit dem fahrrad mitgestartet war und der leiterin des eigenbetriebs bad salzhausen petra schwingdoring begrut
all sorts of food and drink had been prepared to refresh body and mind the local women from ranstadt and niedermockstadt had baked apple plum and cheesecakes as well as streusel cake which the intrepid riders let melt in their mouths	zur erfrischung von korper und geist war allerlei an guten dingen vorbereitet worden die landfrauen aus ranstadt und niedermockstadt hatten bleche apfel zwetschen streusel und kasekuchen gebacken die den tuchtigen radlern wunderbar mundeten
such cakes only the local women can make praised the rider from aulendiebach at the same time as he ordered another slice	solche kuchen konnen nur landfrauen backen lobte ein teilnehmer aus aulendiebach wahrend er ein weiteres stuckchen orderte
at the drinks stand of the geinidda gymnasium club the riders could acquire cold drinks	am getrankestand des turnvereins geinidda konnten kalte erfrischungen erstanden werden
the duo bravo entertained the visitors with wellknown melodies from operettas and musicals and reaped enthusiastic applause	das duo bravo unterhielt die besucher mit bekannten melodien aus operetten und musicals und erntete begeisterten applaus
the lovely atmosphere in the park had a relaxing effect	das schone ambiente des parks wirkte entspannend
one gentleman even received a headmassage from his lady partner he certainly earned it after all he had to fix a bicycle chain that had come off earlier in the day	ein herr genoss uberdies eine kopfmassage von seiner partnerin die hat er verdient schlielich hat er heute schon abgesprungene fahrradketten wieder befestigt
meanwhile the mayor and the company boss still had work to do they were interviewed at the fountain in front of the wateringhole inn the trinkkurhaus by reporter rainer janke and took their radio opportunity to give a big thumbs up for bad salzhausen	derweil mussten der burgermeister und die betriebsleiterin noch arbeiten sie wurden am brunnen vor dem trinkkurhaus von reporter rainer janke interviewt und nutzten die gelegenheit im radio fur bad salzhausen zu werben
even head of promotions tobias hagen who had worked as tour head since it first started in could only get a short rest as he had a lot of work to do involving the local technology	auch promotionchef tobias hagen seit der ersten als tourleiter dabei konnte nur kurz verschnaufen hatte er doch reichlich mit der technik vor ort zu tun
his pickup truck in which he used three telephones and a radio to communicate with his colleagues and a hessen police team made facebook entries and also wrote his reports also needed a check	sein pickuptruck in dem er mittels drei telefonen und einem funkgerat mit seinen mitarbeitern und der motorradstaffel der polizei hessen kommunizierte facebookeintrage schrieb und reportagen machte brauchte ebenfalls einen check
the majority of riders come from the rheinmainregion he explained but riders have also come from gieen and fulda from lauterbach or from the taunus and even from many towns in westfalia	der groteil der teilnehmer stammt aus dem rheinmaingebiet erzahlte er doch auch aus gieen oder fulda aus lauterbach oder dem taunus und sogar aus zahlreichen stadten in westfalen sind radfahrer angereist
the number of participants depends a little on the number of places where they can stay	die teilnehmerzahl richtet sich ein bisschen nach den zur verfugung stehenden ubernachtungskapazitaten
category riders are accommodated in hotels with category riders being put up in hostelstyle lodging	in kategorie i werden die teilnehmer in hotels untergebracht in kategorie ii in sammelunterkunften
as the riders set out again on the road they had a good impression and happy memories of the resort bye	vom kurort hatten die radler einen guten eindruck als sie nach eineinhalb stunden wieder aufbrachen tschuss
it was very nice in bad salzhausen they shouted as they waved goodbye	es war schon in bad salzhausen winkten sie zum abschied
after arriving in schotten the group could take a short rest	nach der ankunft in schotten durfte die gruppe eine kurze verschnaufpause einlegen
but then in the evening the riders were requested to go to the idyllic alteburgpark	aber am abend waren die radler im idyllischen alteburgpark gefordert
under the guidance of manager of the schotten association for tourism and town marketing gts the park had acquired a lovely festive ambience and of course there were plenty of nice nibbles such as flammkuchen with wellchilled federweier wine too	unter der regie der schottener gesellschaft fur tourismus und stadtmarketing gts hatte der park ein schones festambiente erhalten und naturlich hatte man leckereien etwa flammkuchen mit gut gekuhltem federweier vorbereitet
mayoress susanne schaab gtsboss markus hofeld and mscchairman wolfgang wagnersachs in his capacity as board member of the hessenthuringen section of the adac welcomed the visitors	burgermeisterin susanne schaab gtsgeschaftsfuhrer markus hofeld und mscvorsitzender wolfgang wagnersachs in seiner funktion als vorstandsmitglied des adac hessenthuringen begruten die besucher
the three were visibly delighted by the roaring trade in schotten	die drei zeigten sich sichtlich erfreut uber den vielen betrieb in schotten
dj tobias hagen opened the dancing stage	dj tobias hagen gab anschlieend die tanzbuhne frei
the cyclists were happy to have the chance to show off their dancing movements in the open air despite their sporting feats on their bicycles earlier in the day	die gelegenheit zum schwungvollen bewegen unter freiem himmel wurde trotz der sportlichen betatigung auf dem fahrrad eifrig genutzt
the appeared among the guests an increasing number of local people who were as attracted by the pleasant atmosphere as much as the mass crowd of riders	unter die gaste mischten sich zunehmend burger die von der guten stimmung ebenso angetan waren wie die groe schar der radfahrer
on the second day of the tour program the riders would call at the stopping points of birstein wachtersbach and bad orb including a concert with the trenkwaldern	am zweiten tag standen fur die radfahrer die stationen birstein wachtersbach und bad orb inklusive eines konzerts mit den trenkwaldern auf dem programm
yesterday after kilometres of cycling the sportsmenandwomen arrived back in bad vilbel once again	gestern nach kilometern radelns trafen die sportler wieder in bad vilbel ein
tens of turkish policemen arrested over plotting against govt	dutzende turkischer polizisten wegen verschworung gegen die regierung festgenommen
a total of police officers have been detained in turkey on suspicions of plotting against the government local media outlets say	insgesamt polizisten wurden in der turkei aufgrund des verdachts der verschworung gegen die regierung festgenommen melden ortliche medienagenturen
police officials have not immediately commented	die polizeibehorden gaben keinen unmittelbaren kommentar ab
among the detainees were highranking officers according to hurriyet daily news	unter den verhafteten sind hochrangige polizisten meldet hurriyet daily news
some of them were involved in last decembers corruption probes targeting government officials including four government ministers	einige von ihnen waren an den korruptionsuntersuchungen gegen regierungsmitarbeiter darunter vier regierungsminister im letzten dezember beteiligt
in july a number of turkish policemen were arrested for allegedly having set up an organized criminal gang and having tapped phone number	im juli wurde eine reihe von turkischen polizisten verhaftet weil sie angeblich eine organisierte kriminelle vereinigung gegrundet und telefonnummern angezapft hatten
turkish president recep tayyip erdogan who was prime minister back then described their actions as part of activity conducted by islamist cleric fethullah gullen against him and others in power	der turkische prasident recep tayyip erdogan der damals premierminister war beschrieb ihr vorgehen als teil der aktivitaten die von dem islamistischen geistlichen fethulla gullen gegen ihn und andere personen in machtpositionen angefuhrt werden
not all children back to school in ukraine	nicht alle kinder in der ukraine kehren in die schule zuruck
schools across most of ukraine reopened their doors on monday september after the summer holidays	schulen fast uberall in der ukraine offneten am montag september nach den sommerferien
the day is traditionally a big one for families and like thousands of other ukrainian parents prime minister arseny yatsenyuk took his daughter to school	dieser tag ist traditionell ein wichtiger tag fur familien und wie tausende anderer ukrainischer eltern brachte premierminister arsenij jazenjuk seine tochter in die schule
while there he told waiting journalists that not all schools had reopened but that he was committed to defending the country for future generations	dort teilte er wartenden journalisten mit dass nicht alle schulen wieder geoffnet hatten dass er jedoch entschlossen sei das land fur zukunftige generationen zu verteidigen
the first of september ceremony was not held in every school	die septemberfeiern wurden nicht in jeder schule abgehalten
there is not a peaceful sky over every part of ukraine	der himmel ist nicht uberall uber der ukraine friedlich
we must fight for a peaceful sky	wir mussen fur einen friedlichen himmel kampfen
the whole of ukraine a huge joint ukrainians peoples front must fight for a peaceful sky	die gesamte ukraine eine riesige gemeinsame ukrainische volksfront muss fur einen friedlichen himmel kampfen
aleksan pastukhov the head teacher of slaviansk school attended by yatsenyuks daughter spoke in russian	aleksan pastukhow schulleiter der schule in slawjansk die jazenjuks tochter besucht sprach auf russisch
we hope that peace will finally be established here and that children will receive knowledge that will be useful in their future lives	wir hoffen dass hier endlich wieder frieden herrscht und dass die kinder eine bildung erhalten die ihnen im weiteren leben nutzlich sein wird
the first day back at school is traditionally celebrated by children wearing embroidered shirts carrying balloons and giving flowers to their teachers	der erste schultag des neuen schuljahres wird traditionell gefeiert wobei die kinder bestickte hemden tragen ballons in den handen halten und ihren lehrern blumen schenken
in rona fairhead the bbc may have found the formidable chief it needs	mit rona fairhead hat die bbc vielleicht den groartigen direktor gefunden den sie braucht
she comes trailing clouds of glory from the world of banking media management and the inner conclaves of the tory party	sie trifft mit einer stolzen ruhmesschleppe aus der bankenwelt dem medienmanagement und dem inneren kreis der torypartei ein
indeed she has had frontline experience of her own	und sie hat eigene fronterfahrung
her career began at global management consultants bain and co then progressed via morgan stanley bombadier ici and the media world of pearsons	ihre karriere begann bei dem weltweiten managementberatungsunternehmen bain and co worauf sie zu morgan stanley bombadier ici und die medienwelt von pearsons wechselte
